city_vac,profession,salary,description
,слесарь,90000.0,наличие квалификационного удостоверения электрослесаря подземного го разряда наличие навыков ремонту обслуживанию взрывозащищённого электрооборудования прокладка подключение кабельной продукции знание пуэ птээп умение коллективе стрессоустойчивость выносливость нестандартное мышление порядок делах хорошее отношение оборудованию отсутствие медицинских противопоказаний горных выработках нефтешахты
Дальнегорск,слесарь,192350.0,удостоверение электрослесаря ремонту оборудования разряда стаж подземных
,слесарь,35000.0,знать устройство назначение принцип всего закрепленного ним электрооборудования схем питания знать токовые нагрузки своих потребителей режим их знать правила тб тэ производственные должностные инструкции строго выполнять их наличие разрешительных документов удостоверяющих право вт желательно правом ведения верхолазных
Железноводск,слесарь,35000.0,пунктуальность внимательность коллективе
Омск,слесарь,20500.0,среднее профессиональное переподготовка профессии профессии электрослесаря менее года группа электробезопасности
Омск,слесарь,27500.0,высшеесреднее профессиональное образование профиль &quotавтоматизация технологических процессов производств&quot &quotслесарь кип а&quot менее года профессии электрослесаря ремонту обслуживанию автоматики средств измерений меньшего разряда
Кемерово,слесарь,35325.0,наличие группы электробезопасности пользователь пк
Новокузнецк,слесарь,49700.0,свидетельство квалификации электрослесарь слесарь дежурный ремонту оборудования разряда группа допуска электробезопасности менее допуск высоте года
,слесарь,27500.0,р требуется
посёлок Чистогорский,слесарь,55000.0,среднее профессиональное образование наличие удостоверения &quotэлектрослесарь подземный&quot подземным электрослесарем участках кт эмс аб добычном наличие удостоверение электрослесаря подземного го го разряда менее года
Томск,слесарь,22500.0,нпосповпо направлению &quotэлектроэнергетика&quot
,слесарь,62500.0,наличие квалификационного удостоверения профессии электрослесарь подземный разряда наличие приветствуется допуск электробезопасности группы
,слесарь,62500.0,наличие квалификационного удостоверения профессии электрослесарь подземный разряда наличие приветствуется допуск электробезопасности группы
Санкт-Петербург,слесарь,39500.0,образование профильное среднего профессионального обслуживания оборудования подстанций напряжением кв знание законодательных актов положений инструкций других руководящих нормативных документов основ технологии производства правил норм охраны труда промышленной безопасности производственной санитарии противопожарной защиты птэ пот ппб пуэ наличие группы электробезопасности владение пк ответственность исполнительность пунктуальность нацеленность профессиональное развитие коммуникабельность энергичность
Санкт-Петербург,слесарь,42700.0,образование профильное области электроэнергетики начального профессионального знание пк уверенный пользователь ms office знание законодательных актов положений инструкций других руководящих нормативных документов основ технологии производства правил технической эксплуатации электрических станций сетей птэ правил охране труда эксплуатации электроустановок потээправил пожарной безопасности ппб правил устройства электроустановок пуэ ответственность исполнительность пунктуальность нацеленность профессиональное развитие коммуникабельность энергичность
Санкт-Петербург,слесарь,37625.0,образование профильное среднего профессионального знание пк exсel word наличие водительского удостоверения кат стаж управления транспортным средством лет ремонта электрооборудования ру кв знание норматив ных документов потээу пуэ птэ ответственность обучаемость коммуникабельность дисциплина
Санкт-Петербург,слесарь,41000.0,образование профильное области электроэнергетики начального профессионального стаж менее одного года профессии более низким предшествующим разрядом ответственное отношение поставленным задачам внимательность готовность обучению
посёлок городского типа Усть-Нера,слесарь,100000.0,наличие удостоверения присвоении профессии электрослесарь дежурный ремонту оборудования разряд желателен лет золоторудных компаниях
посёлок городского типа Усть-Нера,слесарь,100000.0,профессиональное образование соответствующую характеру знание режима энергооборудования умение производить переключения энергообъектах умение коллективе трудолюбие ответственность исполнительность
Новосибирск,слесарь,33000.0,знание электротехники умение читать электрические схемы монтажной слесарной деятельности ремонту обслуживанию приборов кипиа производственном предприятии
,слесарь,32500.0,среднее общее образование среднее профессиональное образование желателен
деревня Малая Щедруха,слесарь,62500.0,наличие квалификационного удостоверения профессии электрослесарь подземный разряда наличие приветствуется допуск электробезопасности группы
,слесарь,26000.0,профильное образование
поселок остановочный пункт 3307 километр,слесарь,45000.0,образование среднее профессиональное техническое года аналогичной должности личностные качества ответственность трудолюбие аккуратность желательно – наличие группы допуска электробезопасности ей кипиа
Санкт-Петербург,слесарь,35871.0,чтение электрических схем распайка ремонт кабельных связей уметь пользоваться измерительными приборами
,слесарь,26000.0,среднее образование специальности менее года аналогичной должности заработная плата обсуждается собеседование
,слесарь,39500.0,образование начальное профессиональное среднее специальное электротехническое специальности допуск электроустановках выше группа электробезопасности iii знание приемов последовательность ремонте электротехнического оборудования требований изоляции электрооборудования электрических машин нормы испытания изоляции чтение чертежей электрических схем знание основ электротехники механики
,слесарь,35350.0,желателен года удостоверение профессии группу электробезопасности
,слесарь,35000.0,среднее техническое образование iii группа электробезопасности желательно
Белореченск,слесарь,30000.0,начальное профессиональное образование электрослесарем ремонту оборудования года образование профессии электрогазосварщик
,слесарь,22894.5,образование среднее специальное электротехнике электрике нефтехимии квалификационной группой допуска электробезопасности й электрослесарем электромонтёром года выполнения слесарных
Улан-Удэ,слесарь,19000.0,среднее профессиональное образование высшее профессиональное образование
Саратов,слесарь,26000.0,лицо прошедшее профессиональное обучение программам профессиональной подготовки профессиональной переподготовки профессиям соответствующих профилю деятельности среднеепрофессиональное образование
Санкт-Петербург,слесарь,42500.0,среднетехническое образование электротехнической специальности специальности года знание пк требуется
,слесарь,32560.0,наличие удостоверения профессии разряд месяцев
,слесарь,46000.0,среднее специальное профильное образование группа электробезопасности знание правил птээп отитб производственных предприятиях
,слесарь,38000.0,среднее профессиональное образование соответствующее должности специальности менее года навык слесарных слесарносборочных средней степени сложности знание приемов инструментами приспособлениями ремонте обслуживании средств измерений правил монтажа средств измерений методов поиска неисправностей средствах измерений знание
Омск,слесарь,22000.0,образование профессиональное обучение профессии специализация образованию электрослесарь электромонтер электроустановках выше ремонт электрооборудования должности технические навыки знание первичного оборудования пс кв
,слесарь,43050.0,среднее профессиональное образование программе подготовки квалифицированных менее года навык слесарных слесарносборочных средней степени сложности знание приемов инструментами приспособлениями ремонте обслуживании средств измерений правил монтажа средств измерений методов поиска неисправностей средствах измерений знание
,слесарь,42500.0,наличие удостоверения профессии отсутствии осуществляется обучение месте счёт средств
,слесарь,42500.0,наличие удостоверения профессии отсутствии осуществляется обучение месте счёт средств
Барнаул,слесарь,32000.0,среднеевысшее профессиональное образовании техническое знание электротехники чтение электрических схем принцип систем измерений
Барнаул,слесарь,28797.0,среднее высшее профессиональное образование техническое электроэнергетике года знания электротехники владение приемами основным слесарным электрическим инструментом
,слесарь,38000.0,наличие удостоверения профессии разряд месяцев
Барнаул,слесарь,28376.0,среднее профессиональное образование электротехническое ремонту грузоподъемных механизмов электроустановок
Барнаул,слесарь,29877.0,среднее профессиональное образование умение читать электрические схемы пользоваться измерительными приборами инструментом наличие связанного монтажом электрооборудования ремонтом настройкой электротехнического оборудования желательно подъёмным сооружениям
,слесарь,85000.0,кип х лет желательно объектах энергетики приветствуется ремонта механических контрольноизмерительных приборов температурного контроля ксм ксп кпп иили приборов расхода давления уровня кпд ксд знание способов монтажа наладки обслуживания ремонта приборов кипиа чтения электрических схем iii iv группа эб
Киров,слесарь,25000.0,среднее профессиональное образование электромонтер электромонтажник
Чита,слесарь,27500.0,должен знать основы электроники устройство различных типов электродвигателей постоянного переменного тока защитных измерительных приборов коммутационной аппаратуры принцип действия оборудования источников питания образование профилю наличие свидетельства диплом
Нижний Тагил,слесарь,30000.0,образование – профессиональное обучение – программы профессиональной подготовки профессиям программы переподготовки программы повышения квалификации – менее одного года профессии электрослесаря ремонту оборудования распределительных устройств более низким предшествующем разрядом
Белорецк,слесарь,33500.0,среднее профессиональное электротехническое образование
,слесарь,27900.0,начальное профессиональное образование среднее полное общее образование аналогичной должности сфере – приветствуется элементарные сведения назначении устройстве оборудования распределительных устройств трансформаторов силовых измерительных низковольтных высоковольтных вводов принципах их электрического тока назначение устройство слесарного инструмента приспособлений защитных средств элементарные сведения материаловедению приемы последовательность техническом осмотре ремонте оборудования распределительных устройств простые приемы такелажных общие требования грузоподъемным механизмам сигнализацию кранами дисциплинированность ответственность
Иркутск,слесарь,92500.0,аналогичной х лет наличие квалификационного удостоверения
Артём,слесарь,51500.0,ремонт высоковольтного электрооборудования электроинструментом высоте исполнительность желание обучаться ответственность
Березники,слесарь,34000.0,квалификация &quotэлектрослесарь ремонту электрооборудования разряда&quot
,слесарь,60100.0,среднетехническое образование желательно горное навыки верхолазных группа допуска электро безопасности iiiй крайнем севере вахтой
Волгоград,слесарь,47500.0,специальности менее года
,слесарь,54100.0,электротехническое профильное образование электрослесарем фабриках х лет наличие удостоверения электробезопасности гр выше знание правил пб др приветствуется стаж районах крайнего севера
,слесарь,60100.0,среднетехническое образование желательно горное навыки верхолазных группа допуска электро безопасности iiiй крайнем севере вахтой
,слесарь,54100.0,электротехническое профильное образование электрослесарем фабриках х лет наличие удостоверения электробезопасности гр выше знание правил пб др приветствуется стаж районах крайнего севера
Губкин,слесарь,37500.0,наличие свидетельства профессии установленным разрядом наличие профильного образования желателен
Губкин,слесарь,37500.0,наличие свидетельства профессии установленным разрядом наличие профильного образования желателен
,слесарь,19100.0,среднеепрофессиональное образование области эксплуатации линии электропередачи менее года
Красноярск,слесарь,33500.0,образование среднее профессиональное техническое
Красноярск,слесарь,54000.0,образование среднее профессиональное техническое
Красноярск,слесарь,43500.0,образование среднее профессиональное техническое
,слесарь,23360.0,среднее электротехническое образование специальности электрослесарь стаж действующих электроустановках менее трех лет квалификационную группу электробезопасности
Краснодар,слесарь,23360.0,электротехническое образование квалификация электромонтер бензоинструментом коса пила высоторез
,слесарь,37000.0,удостоверение &quotэлектрослесарь слесарь дежурный ремонту оборудования&quot профессии менее года
,слесарь,17000.0,пищевом предприятии допуск группы электробезопасности умение элинструментом приветствуется умение проведения элсварочных
Улан-Удэ,слесарь,22500.0,среднее профессиональное образование высшее профессиональное образование
,слесарь,37500.0,сфере ремонта двигателя технического обслуживания автомобилей газ года знание устройства автомобилей газ методов осуществления ремонта навыки диагностика профилактический осмотр автомобилей выявление причин неисправности автомобиля разборка‚ ремонт сборка узлов механизмов автомобиля выполнение всех видов тех обслуживания автомобилей замена техжидкостей ремонт любой сложности
Красноярск,слесарь,70000.0,техническая грамотность аккуратность ответственность качество скорость проводимых умение чертежами технической литературой желателен автомехаником специалистом области автотюнинга предпочтительно наличие навыков автоэлектрика сварщика тч аргон механика клейщика пвх конструкций
Нижний Новгород,слесарь,70000.0,образование среднего наличие ремонте двигателей знание конструкции автотранспортных средств умение технической документацией пользователь пк исполнительность ответственность аккуратность готовность много зарабатывать мы стремимся создать наилучшие
Калининград,слесарь,55000.0,менее года дисциплинированность пунктуальность
Санкт-Петербург,слесарь,95000.0,полное знание устройства принципов узлов агрегатов автомобиля лет
Уфа,слесарь,65000.0,уверенное знание технического устройства ам исполнительность дисциплинированность ответственность обязанности диагностика ремонт ам иностранного производства ремонт двс кпп замена ремней цепей грм возсти
Пушкино,слесарь,70000.0,желание развиваться знание устройства автомобиля конфликтность
,слесарь,80000.0,ремонту обслуживанию автомобилей
Новосибирск,слесарь,75000.0,ремонте грузового автотранспорта хорошее знание технического устройства автомобиля ответственность исполнительность большое желание зарабатывать приходите ул толмачевская
Москва,слесарь,70000.0,лет профильное образование
Новомосковский административный округ,слесарь,120000.0,желательно своими инструментами го года
,сварщик,54000.0,точное выполнение поручений
Верхняя Пышма,сварщик,30000.0,среднеспециальное образование обучим выпускников умение аргонодуговой сваркой гидравлических прессах штампах листогибочных вырубных станках технические навыки чтение чертежей использование измерительного слесарномонтажного инструмента
посёлок городского типа Винзили,сварщик,25000.0,желание обучиться новым направлениям технический склад ума умение коллективе
Верхняя Пышма,сварщик,30000.0,среднеспециальное образование умение аргонодуговой сваркой гидравлических прессах штампах листогибочных вырубных станках технические навыки чтение чертежей использование измерительного слесарномонтажного инструмента
Москва,бухгалтер,77500.0,бухгалтером желательно замом главбуха главбухом ревизором экономистом госсекторе двух лет высшее экономическое образование бухгалтерский учет знание бухучета бюджетной сфере уверенное владение пк умение анализировать документы
Москва,бухгалтер,75000.0,высшее среднее профессиональное образование бухгалтерский учет свежий расчета заработной платы начисления уплаты налогов взносов сдачи отчетности налоговую инспекцию фсс пфр кадровый учет аналитический склад ума быстрая обработка данных критичное восприятие любой информации внимание деталям способность логично кратко излагать мысли креативность конструктивное восприятие критики
Москва,бухгалтер,30000.0,высшее образование первичными документами знание российского законодательства области налогообложения бухгалтерского учета уверенное владение пк знание офисных программ excel года
Тюмень,бухгалтер,27500.0,высшее профессиональное образование специальности «экономика управление» «бухгалтерский учет анализ аудит» «финансы контроль» бюджете
Барнаул,бухгалтер,19750.0,умение планировать эффективно последовательно организовывать свою правильно расставлять приоритеты умение быстро адаптироваться новым
,бухгалтер,107500.0,отличное знание программ упп зуп будет плюсом знание бухгалтерия exсel контур сбербанк клиентбанк знание всех участков учета организации раздельного учета ндс учет валютных взаиморасчетов учет курсовой разницы учет ос строительство рбп составления налоговой отчетности ндс налог имущество налог прибыль транспортный налог отчетность взносам персонифицированный учет статистической отчетности учета постоянных временных разниц соответствии пбу разработки бухгалтерской налоговой учетной политики обязательных компаний документов регулирующих ее экономическую деятельность анализ договоров соответствие законодательству наличие налоговых рисков прохождения аудиторских проверок камеральных выездных проверок ифнс сверки ифнс фондами возвращения ндс бюджета составление финансовой отчетности отличные знания налогового кодекса трудового законодательства
Химки,бухгалтер,107500.0,отличное знание программ упп зуп будет плюсом знание бухгалтерия exсel контур сбербанк клиентбанк знание всех участков учета организации раздельного учета ндс учет валютных взаиморасчетов учет курсовой разницы учет ос строительство рбп составления налоговой отчетности ндс налог имущество налог прибыль транспортный налог отчетность взносам персонифицированный учет статистической отчетности учета постоянных временных разниц соответствии пбу разработки бухгалтерской налоговой учетной политики обязательных компаний документов регулирующих ее экономическую деятельность анализ договоров соответствие законодательству наличие налоговых рисков прохождения аудиторских проверок камеральных выездных проверок ифнс сверки ифнс фондами возвращения ндс бюджета составление финансовой отчетности отличные знания налогового кодекса трудового законодательства
Краснодар,персонал,18500.0,высшее профессиональное образование юридическое государственное муниципальное управление знание нормативных правовых актов направлению деятельности отдела закон персональных данных другие
Омск,бухгалтер,14500.0,высшее экономическое образование
Новосибирск,кассир,34500.0,ответственность дисциплинированность внимательность приветствуется магазинах магнит дикси перекресток азбука вкуса вкусвилл карусель верный ашан metro магнолия других торговых сетях
Кузнецк,кассир,24500.0,ответственность дисциплинированность внимательность приветствуется магазинах магнит дикси перекресток азбука вкуса вкусвилл карусель верный ашан metro магнолия других торговых сетях
г Новосибирск,продавец,45000.0,ответственность дисциплинированность внимательность наличие аналогичного является преимуществом
Новосибирск,кассир,34500.0,ответственность дисциплинированность внимательность приветствуется магазинах магнит дикси перекресток азбука вкуса вкусвилл карусель верный ашан metro магнолия других торговых сетях
Казань,персонал,27500.0,сфере продаж преподавании выступлений будет преимуществом высшее образование обучаемость готовность большому объёму информации
деревня Елино,персонал,115000.0,высшее образование направлении адаптации персонала года навыки составления планов регламентов инструкций прочих лна коммуникабельность грамотная устная письменная речь способность режиме многозадачности
,персонал,25000.0,— правила ведения документации учебной — поваром приветствуется — основы делопроизводства — трудовое законодательство рф — правила нормы охраны труда производственной санитарии пожарной безопасности организациях питания пр обязательно наличие мед книжки действующим мед осмотром
Красноярск,слесарь,70000.0,ответственность обучаемость креативность смекалка умение команде
Нижний Новгород,слесарь,45000.0,производстве воздуховодов инструментом ответственно относится своей выполняемым задачам активность аккуратность
городской округ Пушкинский,кассир,49500.0,желание обучаться наличие мед книжки готовность ее оформить
Армавир,бухгалтер,35000.0,высшее образование должности бухгалтеракалькулятора лет личностные качества внимательность‚ профессиональная грамотность‚ ответственность нацеленность результат уверенный пользователь пк знание программы iiko айко excel word
Бердск,бухгалтер,32500.0,исполнительность грамотность стрессоустойчивость
Казань,бухгалтер,52500.0,х лет образование среднеспециальное высшее хорошее знание storehouse rkeeper excelс умение большими объёмами порядочность ответственность детальность
Муром,кассир,23000.0,калькулятора специализированных программах знание технологических карт принцип составления
Москва,бухгалтер,77500.0,умение пользоваться пк высоком уровне excel умение команде стрессоустойчивость знание законодательств порядков введения бухгалтерии желание развиваться лет
Люберцы,бухгалтер,45000.0,уверенной программой excel готовность режиме многозадачности внимательность стрессоустойчивость
,кассир,45000.0,стабильность дисциплинированность обучаемость стрессоустойчивость желание обязанности есть обучение набор выписка внесение накладных компьютере программа простая деньгами общение покупателями консультирование ксерокопирование документов сканирование документов печать вырезание ножницами ценников приём результатов ревизии комплектовщиков последующим внесением этих результатов компьютер тд оборудованном офисе складе
Ростов-на-Дону,бухгалтер,32500.0,высшее образование пользователь пк электронная почта любым программным продуктом понятным интерфейсом умение правильно строить диалог слушать понимать обучаемость высокая стрессоустойчивость бухгалтерией обязателен хорошие навыки коммуникаций умение команде обязательно пунктуальность исполнительность
Краснодар,кассир,40000.0,денежной наличностью обязателен года наличие базовых знаний банковских продуктах продаж банковских кредитных иили страховых продуктов услуг го года желателен наличие базовых знаний депозитных продуктах денежных переводах знание этапов продаж умение применять их практике высокоразвитые коммуникативные навыки грамотная речь активная жизненная позиция нацеленность результат стремление развитию стрессоустойчивость
,кассир,45000.0,денежной наличностью обязателен года наличие базовых знаний банковских продуктах продаж банковских кредитных иили страховых продуктов услуг го года желателен наличие базовых знаний депозитных продуктах денежных переводах знание этапов продаж умение применять их практике высокоразвитые коммуникативные навыки грамотная речь активная жизненная позиция нацеленность результат стремление развитию стрессоустойчивость
,кассир,40000.0,денежной наличностью обязателен года наличие базовых знаний банковских продуктах продаж банковских кредитных иили страховых продуктов услуг го года желателен наличие базовых знаний депозитных продуктах денежных переводах знание этапов продаж умение применять их практике высокоразвитые коммуникативные навыки грамотная речь активная жизненная позиция нацеленность результат стремление развитию стрессоустойчивость
,кассир,46000.0,высшее экономическое образование года сфере кассового обслуживания знание нормативной документации цб ответственность быстрая обучаемость высокая ть усидчивость нацеленность результат коммуникабельность
Саратов,кассир,27500.0,целеустремлённость ответственность стрессоустойчивость наличие навыков лидерских качеств умение команде
,бухгалтер,55000.0,менее года желательно производстве строительстве знание первичной документации знание программ ms word excel желателен ерп оформление договору гпх время выполнения объекте год место пос вольгинский г покров владимирская область зарплата руки руб месяц
Москва,бухгалтер,57472.0,года владение пк стандартные программы office электронная почта знание программы ответственность выполняемую умение самостоятельно постоянного контроля вежливость гибкость общении коллегами клиентами водителями своем коллективе удовольствием встретим позитивногоответственного человека который имеет активную жизненную позицию отличные коммуникативные навыки
