city_vac,profession,salary,description
Электросталь,персонал,50000.0,физкультурное образование наличие сертификата инструктора тренажерного зала должности инструктора тренажерного зала приветствуется знание основ анатомии физиологии методик силовых тренировок методики построения тренировочного процесса навыки продаж персональных тренировок активность целеустремленность коммуникабельность ° приветливость доброжелательность любовь своему делу помощь похудение желающих
,персонал,100000.0,лет фитнес клубах студиях тренероминструктором групповых программ направлению pilates знание основ приветствуется малым большим оборудованием дисциплина ответственность пунктуальность обучаемость
Москва,персонал,165000.0,индустрии фитнеса х лет высшее профессиональное образование наличие дополнительного образования сфере фитнеса экспертные знания основ анатомии физиологии биомеханики диетологии личные спортивные регалии умение команде ориентироваться результат умение самоорганизации ведение отчетной документации пунктуальность
Москва,персонал,85000.0,наличие образования области фитнеса наличие сертификата инструктора тренажерного зала приоритет fpa уверенные знания анатомии физиологии приветствуется наличие спортивных разрядов сертификатов области реабилитации лфк продаж сервиса лет индивидуально рассмотрим варианты приема высокие коммуникативные навыки дисциплинированность высокая ть ответственность желание умение коллективе
Омск,продавец,40000.0,ответственность стрессоустойчивостькоммуникабельность быстрая обучаемость желание обязанности доброжелательное общение посетителями объяснение правил стрельбы тире соблюдение техники безопасности ведение отчётности
Сургут,кассир,30500.0,доброжелательное отношение детям коммуникабельность быстрая обучаемость стрессоустойчивость заработная плата &quotбелой&quot компании выплаты раза месяц сменный режим обучение форма оформление тк отпуск больничный место трц &quotситимолл&quot
Оренбург,персонал,42500.0,законченное высшее образование психология управление персоналом знание технологии аттестации персонала знание методов технологий построения ведения тренингов знание применение техник продаж спин написания учебных программ тренингов проведения оценочных аттестационных мероприятий посттренингового сопровождения умение выступать большую аудиторию наличие допобразования сфере обучения персонала будет преимуществом желателен года сфере продаж желательно знание сcrm обязателен года сфере обучения развития персонала
Ставрополь,персонал,40000.0,менее лет направлении обучения развития персонала создания учебнометодических материалов тренингов проведения очных тренингов менее месяцев уверенный пользователь mc office power point excel участие обучениях формата «тренинг тренеров» будет вашим преимуществом
Омск,продавец,40000.0,ответственность стрессоустойчивостькоммуникабельность быстрая обучаемость желание обязанности доброжелательное общение посетителями объяснение правил стрельбы тире соблюдение техники безопасности ведение отчётности
,персонал,100000.0,профильное спортивное образование фитнескурсы тренерской детьми взрослыми года умение желание общаться людьми помогать им достижении поставленной цели
Электросталь,персонал,50000.0,физкультурное образование наличие сертификата инструктора тренажерного зала должности инструктора тренажерного зала приветствуется знание основ анатомии физиологии методик силовых тренировок методики построения тренировочного процесса навыки продаж персональных тренировок активность целеустремленность коммуникабельность ° приветливость доброжелательность любовь своему делу помощь похудение желающих
